date,price,qty,agg
2020-11-01,6099189597.99103,198394.63399985238,2727406874.923609
2020-11-02,8750564791.100172,327991.7679996205,4433952125.46325
2020-11-04,13315590248.591587,451433.41599925084,6269163647.930748
2020-11-06,19397654726.230095,559380.0599989395,8719764932.892082
2020-11-07,15763277252.138744,457582.68099882413,6921481478.488856
2020-11-08,2904677328.6800585,85327.45899997982,1276945217.618234
2020-11-10,8921794635.599724,244073.49499985375,3732294398.387365
2020-11-11,11965269146.56957,330772.8519994901,5177231131.452712
2020-11-13,12326448729.930489,306656.35899922537,4984405298.818978
2020-11-14,10511842653.331486,266206.9369996656,4251500067.6618304
2020-11-15,9459776698.410019,210318.45299992777,3359401680.113917
2020-11-16,13295029410.903677,342459.3289993425,5627638531.073789
2020-11-17,20292033161.871063,524094.6969986938,9050160241.00452
2020-11-18,29888785919.97894,732937.0970001773,13108477651.199198
2020-11-19,16370071664.29986,406500.9769992315,7243709977.394021
2020-11-20,17514381376.629913,407926.8019990846,7497709362.562142
2020-11-22,16462378984.52764,373779.4169991548,6856294687.866193
2020-11-23,15973548385.699066,364221.37799942866,6718716197.904305
2020-11-24,22665321144.399693,477968.2889994281,9042446485.582506
2020-11-26,40751522870.467476,850692.8560027311,14698559977.071825
2020-11-28,10946256994.138977,268833.7499998393,4666900557.72716
2020-11-29,11455005202.329811,256024.00499988373,4609730524.390373
