date,price,qty,agg
2021-06-01,108211364361.25467,590822.4429988741,21609361214.386463
2021-06-02,85328143100.26299,441719.8059978814,16479965808.269228
2021-06-03,93361393967.08562,507429.0059980883,19590443333.92197
2021-06-04,121254888166.44923,700625.8650034674,25922946567.359856
2021-06-05,111775057285.35439,631028.4480011921,22946553087.064224
2021-06-06,76037598191.53748,443601.0639982979,15937978040.905321
2021-06-07,104207363304.7523,636735.8730012588,22666564580.4724
2021-06-08,140029313831.78894,976693.0260103531,31912200461.053623
2021-06-09,157122677419.12692,1031014.0870125307,36050659489.10417
2021-06-10,137603595680.62314,803185.6990051405,29775084407.931442
2021-06-11,106858219765.79424,586122.8979992785,21668792470.73922
2021-06-12,105003820608.48239,623532.476000507,22229082760.926144
2021-06-13,114711222410.47498,647035.3140014103,23729185499.53557
2021-06-14,140555513377.9257,704979.8810014022,28043323953.58504
2021-06-15,117680560019.75285,632066.9939997134,25426404028.57585
2021-06-16,124472993369.94727,673235.496002412,26431149487.45237
2021-06-17,100333320485.53159,603849.8609999063,23274089670.02551
2021-06-18,120246487915.0718,790381.3010038289,29108793966.13453
2021-06-19,95103536322.39587,642183.3300012413,22932979588.79025
2021-06-20,115410793685.06427,829896.4410047701,28839255734.67439
2021-06-21,192381365051.2967,1397330.6620096161,45999742162.56912
2021-06-22,205167080481.58063,1531824.9730074052,48118039152.63489
2021-06-23,133583711084.44589,960700.246008091,32385724394.31451
2021-06-24,106160139082.12636,774899.1650039104,26142284529.30721
2021-06-25,144320679273.96167,1093051.3750099721,36220815800.34508
2021-06-26,142854550871.98355,1091384.7490112362,34169368151.2138
2021-06-27,125379745989.35902,897148.4530094352,29675736336.148952
2021-06-28,105245310565.29402,706157.5450022902,24347768133.938076
2021-06-29,117036538813.37904,806140.3290043925,28651151982.424057
2021-06-30,99369620037.23573,719742.9830020778,25089717253.911015
