date,price,qty,agg
2020-07-01,2605162878.7199836,161642.17499997502,1487427600.9024
2020-07-02,3703454059.2096515,230747.51900001828,2105533922.1958876
2020-07-03,1875620322.770069,96947.33799998964,881331916.257148
2020-07-04,1706977016.3799706,100215.43799998048,913030839.3053098
2020-07-05,2329268897.9799814,139545.56599999574,1261953986.2030609
2020-07-06,3080746822.810128,199643.82800000784,1843703742.2612052
2020-07-07,2316706134.1799016,127833.97499995364,1184876083.7666612
2020-07-08,2849049810.5200357,170243.00099994385,1594244760.1097188
2020-07-09,3045437666.579752,188355.85599990824,1751622435.1305747
2020-07-10,2349068094.0499845,140849.87399999416,1295681629.8824954
2020-07-11,1527917617.210024,74976.52099996469,692340842.1313174
2020-07-12,2046424394.0499814,127841.88199999325,1182491576.5704398
2020-07-13,2306671296.9401917,136117.65899996628,1262652034.0136454
2020-07-14,2131178423.6500204,129704.27799997707,1194751477.5348136
2020-07-15,1745982068.689992,104107.70799997936,959516024.2156067
2020-07-16,2370228896.5797877,148089.44999996095,1350809171.2734635
2020-07-17,1391043862.340054,80940.58399998432,739789769.3342779
2020-07-18,1150804949.7200272,63233.59599997044,579542001.3929564
2020-07-19,1304478830.400006,75554.57899997052,692144095.4289492
2020-07-20,1311068224.699997,72429.69099997115,664469650.8032573
2020-07-21,2882076539.509847,179211.34699992355,1671206199.5286067
2020-07-22,2234249764.430117,126598.90200000693,1189260919.421789
2020-07-23,3077517983.5302696,166990.1469998684,1593882469.4396505
2020-07-24,2744351449.8699274,133975.06799993353,1279232338.523651
2020-07-25,2707143639.1501784,133377.58899994032,1284993355.3451514
2020-07-26,4770361844.059715,261998.78599971038,2598998008.676191
2020-07-27,14233641937.35997,744752.4000007006,7891956950.285993
2020-07-28,10914148163.599752,499486.678999711,5481417615.66487
2020-07-29,7592085510.460161,356188.76099990535,3965422424.834546
2020-07-30,5049100249.490117,230327.9879999529,2540930684.604623
2020-07-31,6179565900.529618,307399.73099987436,3455848822.1417217
