date,price,qty,agg
2020-08-01,8211617602.479759,386320.74699966976,4493940083.066253
2020-08-02,10321647427.860962,492803.35099942057,5584559651.079354
2020-08-03,5105227461.799722,238654.59099983433,2689651526.9535217
2020-08-04,4427295931.269787,200044.9339998991,2245992628.8278627
2020-08-05,5660058019.520224,263510.01099979854,3037923802.7249117
2020-08-06,5220399368.960455,236459.59499990864,2782205258.013019
2020-08-07,6343138708.349773,273935.1269999667,3191651680.815274
2020-08-08,3989634106.189851,154707.30299995176,1808155550.967993
2020-08-09,3430900404.3099008,125463.46299997915,1462717950.8053372
2020-08-10,6625508998.27956,290418.01399981324,3447830045.747723
2020-08-11,7638452517.90029,336861.6379997383,3881574730.9597654
2020-08-12,5127886387.389846,213799.49099989858,2446503849.8098745
2020-08-13,6272136009.619581,248214.7249997641,2865188930.5497603
2020-08-14,4143420000.05997,159019.95899996045,1869288349.4422863
2020-08-15,5412347400.640297,222262.98699984446,2639621485.1747704
2020-08-16,4224885426.3500113,165733.72099995863,1962706567.3908978
2020-08-17,8242051580.410026,331435.11199965316,4026216925.4313207
2020-08-18,7162521504.650176,291349.88799989637,3529402332.940101
2020-08-19,7219400259.580056,313267.0659998199,3688115093.975933
2020-08-20,3651779954.869858,130981.04399998767,1544542409.294815
2020-08-21,5068821829.060482,195106.5359998831,2282701561.582079
2020-08-22,3439240447.289943,126696.72999997488,1462044717.3279593
2020-08-23,2750959196.970013,95608.03299998632,1111234523.1572676
2020-08-24,3011019564.460391,108781.1249999695,1277174863.8931963
2020-08-25,5613277276.8698435,267234.77099981357,3057706453.1674747
2020-08-26,3803264689.7296705,170305.0239998851,1941776559.5768585
2020-08-27,5471569290.449739,253778.3419998556,2880004202.035454
2020-08-28,3378938528.6497507,129477.62699996943,1481017951.7489417
2020-08-29,2248470806.2099757,83715.22899998006,962840624.0521983
2020-08-30,2678910212.0198874,113266.67199997317,1316261373.0452702
2020-08-31,2978302476.339676,127272.37800000873,1487504145.430199
