date,price,qty,agg
2020-12-01,31156804368.446926,553885.3309997042,10601482155.773369
2020-12-02,18359913545.62987,335717.4819992942,6352815848.933134
2020-12-03,14142312382.698898,245020.5759996423,4724323628.540816
2020-12-04,15347034410.61126,276271.9389996786,5260370304.165602
2020-12-05,9598986800.448936,165912.64699981094,3145507861.155705
2020-12-06,9814906277.559559,176004.6059998092,3370639869.0618343
2020-12-07,9232350905.520851,169402.37099990173,3249551714.476271
2020-12-08,14998743805.721163,280714.1319996719,5279747287.143438
2020-12-09,18749829509.63888,353123.68899935635,6424799134.151461
2020-12-10,12748682176.538725,233960.2409995742,4271592591.333823
2020-12-11,16808735519.989397,317866.0699992054,5689740183.806453
2020-12-12,11230563607.899902,196962.28199973438,3641762062.7475758
2020-12-13,12987048184.430521,239760.08899964966,4594353525.456148
2020-12-14,11136068128.929508,181555.82299980786,3480597165.14882
2020-12-15,13829490085.468048,248744.05399960134,4809598929.890172
2020-12-16,27652754050.1674,459302.0119994258,9357131523.971237
2020-12-17,62010250423.228836,823436.8390056895,18707319135.768215
2020-12-18,23812835131.48143,305996.20399937517,7000285771.2329035
2020-12-19,27608662782.81527,337535.43799913244,7938307873.868378
2020-12-20,26917738817.630653,322289.85299938417,7612662592.832552
2020-12-21,37504492404.07536,476456.50999877014,11000493402.706173
2020-12-22,25997173710.3066,326124.3129996142,7526843284.058859
2020-12-23,33154497869.561985,394754.93899928173,9276578416.544283
2020-12-24,19988404313.348507,237754.2569995347,5517917922.310406
2020-12-25,25594864831.670876,284523.43099948816,6874550222.928961
2020-12-26,36053879804.32687,367265.55499943666,9382122680.480036
2020-12-27,59504922872.96039,540264.1479992389,14678578951.91698
2020-12-28,31344524404.531048,267563.46799952706,7224208281.732073
2020-12-29,29977043309.976612,260759.4489997883,6956813209.791072
2020-12-30,42530337532.403046,374737.65499930567,10558400366.545828
2020-12-31,38732838922.96623,313648.83499949466,9030623930.447918
