date,price,qty,agg
2021-02-01,45446707270.385185,240632.30499973005,8121384974.634727
2021-02-02,44666076198.15942,239856.22999959651,8364687573.378985
2021-02-03,46486696961.87516,240307.57799967082,8788907148.878658
2021-02-04,61283200443.5418,306715.0219994336,11507154016.358114
2021-02-05,43912832993.382454,196277.44399975418,7395595524.775324
2021-02-06,71761542493.89502,310826.31499931205,12369698321.048061
2021-02-07,64204945459.58497,296721.9249994168,11466152232.534803
2021-02-08,111877542413.6596,440167.0959976187,18769855293.98265
2021-02-09,109685188675.716,379279.87799883017,17717281036.1509
2021-02-10,85403827983.06549,334979.0169988082,15286260787.699474
2021-02-11,89202028058.22528,330540.0449989821,15468624715.762802
2021-02-12,78129907369.9842,259186.28799945503,12341281000.026297
2021-02-13,56569263301.14613,199965.39699940244,9438075938.388218
2021-02-14,70546145584.70528,241935.69299930704,11797052716.596193
2021-02-15,75139161375.11435,248960.3769994166,11872148013.140764
2021-02-16,99977574288.15897,343592.010999109,16865499630.281588
2021-02-17,102202913096.80496,312007.4579987822,15897490858.657312
2021-02-18,60714021544.95102,185489.8899996029,9627115933.974094
2021-02-19,95191954695.5115,257911.87199909717,13784775685.92849
2021-02-20,92635452705.31802,240296.30799935985,13529409884.872297
2021-02-21,73154630978.11647,196820.57299944793,11254047090.53717
2021-02-22,171576649015.05093,480660.18699883966,25951996709.77548
2021-02-23,257850213645.24725,748737.4620036792,36297078764.52284
2021-02-24,113747720425.80501,333413.1989983907,16589955024.615484
2021-02-25,117853815224.7938,349943.01599850063,17447887799.890724
2021-02-26,142564155723.5182,440670.3199983558,20499678357.295986
2021-02-27,82432952729.74907,256027.07399860694,12038528819.38244
2021-02-28,113608704367.63264,370358.8249984864,16549302262.98477
