date,price,qty,agg
2021-05-01,66714007166.713875,207854.29799966444,12008580049.166046
2021-05-02,64696006429.98296,203712.514999657,11572672993.018356
2021-05-03,86494233529.48935,271733.9719994009,15734811253.157621
2021-05-04,122991372912.37859,388988.7539983457,21460954657.120197
2021-05-05,92489719280.66112,317811.7049990249,17803582010.466526
2021-05-06,86515569372.99707,275476.98299928056,15686957664.211542
2021-05-07,83375683064.18561,256159.50399937155,14595837163.974289
2021-05-08,91820689312.87634,264906.7289991014,15519326694.297108
2021-05-09,78133208678.7467,245954.01399931853,14240035980.979292
2021-05-10,125973428165.45737,396237.13299862563,22695249844.90944
2021-05-11,85478176273.87346,267226.1039992558,14894271373.249887
2021-05-12,143603213236.5647,472329.15199775225,25827757899.751507
2021-05-13,205322600091.9077,652476.6890007299,32261339754.841923
2021-05-14,83737352155.0736,319069.00199910015,16003223041.873198
2021-05-15,115218334173.95627,442023.4959980779,21481317002.84485
2021-05-16,153776350610.69705,604537.6299991414,28364127431.876408
2021-05-17,199596350110.85294,809129.3650005338,35658317191.94217
2021-05-18,139128590433.11212,590358.591998823,25938880316.674053
2021-05-19,318460118591.7473,1356733.3620087153,52376156729.947624
2021-05-20,217078442107.5329,775185.0960067105,30672617351.371822
2021-05-21,237055410210.79175,930671.7470099787,35509680104.40161
2021-05-22,150590225323.7072,588166.7839996509,21993863634.95389
2021-05-23,233444078418.64163,996815.0170213584,34118866979.40781
2021-05-24,159533707503.6497,707903.071003942,26315302276.99841
2021-05-25,138671576669.38574,598836.4109992916,22712004628.94919
2021-05-26,120182234800.33022,577032.8099991278,22649858073.555367
2021-05-27,112015103495.3745,543338.8129980253,21083777235.380577
2021-05-28,154262713486.47186,832363.1780058842,30299777795.592995
2021-05-29,139708013144.30893,733902.8250044389,25787790806.91524
2021-05-30,98284069071.53676,511834.7459969799,18116421636.30991
2021-05-31,111335210073.99292,635082.1210005343,22929964892.05716
