date,price,qty,agg
2021-01-01,25889113215.277794,210716.3459998031,6157503518.779161
2021-01-02,73354716270.98242,545541.0799996135,17122938614.705853
2021-01-03,73766791995.71994,487486.9889991886,16389111411.527369
2021-01-04,71741219480.98494,506128.0229993615,15879195836.254147
2021-01-05,65671713579.24932,433720.83299886575,13959353458.550507
2021-01-06,78101783475.62234,444019.829998779,15515216052.164654
2021-01-07,102831926739.51889,520147.9079972527,19955559504.79159
2021-01-08,114346692213.80875,518080.8259982631,20667265854.49601
2021-01-09,63342010600.18039,260882.80499929428,10520523013.407118
2021-01-10,97004328633.59538,436759.04799831664,17027093434.552256
2021-01-11,179176658931.9972,906275.6510061023,30742156595.35408
2021-01-12,97280397082.40672,449065.6929971275,15590695938.852613
2021-01-13,88624537193.24608,398188.0879979109,13803091615.052633
2021-01-14,85819942542.49506,353142.3859990405,13663753723.40285
2021-01-15,102705645495.17853,437610.1129994521,16148530126.350609
2021-01-16,70313796987.24884,301102.4769992924,11103654689.808105
2021-01-17,63172398383.273705,287686.12899915106,10206002445.017426
2021-01-18,55452366583.32874,253386.70299929506,9167208119.70135
2021-01-19,54912425500.586174,257889.4189991956,9530202433.373198
2021-01-20,68393413829.73975,329192.4189988055,11521126165.522367
2021-01-21,103463885214.8277,550562.2769994785,17863845664.01858
2021-01-22,82998124669.39136,453568.53799882083,14265924156.727205
2021-01-23,49001250938.62059,256776.75399949955,8300496562.865599
2021-01-24,40104521446.33115,212106.70099972378,6824795441.490337
2021-01-25,57066336378.9894,316687.5669994318,10588163365.616827
2021-01-26,60744841066.40411,346861.6639992428,11060560821.242851
2021-01-27,71056843035.90807,431022.83899815666,13269633440.998884
2021-01-28,53029730596.72011,311528.3729993264,9909261735.257393
2021-01-29,141800033061.1427,713579.785003184,25293550971.742805
2021-01-30,56094073975.376686,267861.8719991129,9109013883.23579
2021-01-31,40522001343.75867,211293.89099960602,7052326918.521981
