date,price,qty,agg
2020-09-01,4361345469.049799,211680.3309999217,2514011557.011611
2020-09-02,5741276896.560018,280411.9639998092,3230818459.578507
2020-09-03,8937584858.750193,487812.7369998619,5277899021.367588
2020-09-04,8138650964.308332,432563.8409997586,4473051196.630244
2020-09-05,8945290940.209238,399307.2819996306,4069493999.6994605
2020-09-06,4655534896.130221,190207.65399984553,1939661678.0363963
2020-09-07,5768385635.530058,258476.94899970997,2616187381.7444854
2020-09-08,6917700897.440293,317802.32199968986,3206824298.752166
2020-09-09,3434039984.3098335,151222.68899991608,1540063640.0155745
2020-09-10,3831969790.2200146,187667.87299985983,1940858757.018442
2020-09-11,2834884902.3096275,135929.30299998625,1399304758.5211196
2020-09-12,2312491607.260034,97429.03699997126,1010752220.534077
2020-09-13,3133769937.429798,159021.84299996108,1649859123.3059258
2020-09-14,4093795159.779479,205260.2359999185,2162656994.6246166
2020-09-15,4600717866.160287,247657.22999993744,2669470467.236154
2020-09-16,5101536224.3900385,252881.0189999429,2756781832.231836
2020-09-17,3862811131.959663,186484.36099993193,2027994176.2729998
2020-09-18,3129615449.189944,136028.35099997013,1484796957.6310296
2020-09-19,3109850003.3198457,126239.23200000687,1391945357.5885139
2020-09-20,3320130035.5000443,150450.5619999252,1639131152.3735812
2020-09-21,5918697157.76001,333047.14599993505,3533611861.215832
2020-09-22,3502187058.0399623,179900.68499987817,1881975158.1632242
2020-09-23,3876613262.69984,203027.5419999914,2106120078.850975
2020-09-24,4534883900.319383,241646.5729999316,2535999234.250788
2020-09-25,3822943663.7400966,170930.77299991614,1820637897.4393094
2020-09-26,2987866267.3199058,109340.49099999774,1171569532.3315763
2020-09-27,2912499396.139628,123440.71599998449,1321161006.1161606
2020-09-28,3835419574.189957,187105.376999813,2031385663.3437033
2020-09-29,3270482927.4398317,146888.31899993256,1575829644.6636853
2020-09-30,3057921798.2798786,132834.1159999773,1425790131.9750319
