date,price,qty,agg
2021-04-01,72312689707.47386,196332.1109996272,11561694746.172289
2021-04-02,69149785716.12238,189391.95799972521,11251166314.77952
2021-04-03,69620710704.54796,198636.17099971286,11672141257.53009
2021-04-04,52593592204.60187,152454.1219998301,8785593781.448774
2021-04-05,63228404951.93691,174338.6459997923,10144751892.152279
2021-04-06,62476950003.14855,165562.02899983426,9681501016.80297
2021-04-07,94134108205.09013,265271.7069994425,15106714000.519125
2021-04-08,58783785605.88898,161389.85799982704,9238696877.002325
2021-04-09,50822707661.5168,141690.14399992916,8260112160.685809
2021-04-10,86046576913.01854,240907.59199947285,14476191585.215382
2021-04-11,56399035022.15444,148499.82399992977,8896497492.087242
2021-04-12,71340218894.47267,196147.56099957717,11824507197.55328
2021-04-13,102243190691.84308,279389.4919991153,17408986053.326115
2021-04-14,121066151248.3785,323454.8799988642,20512671253.01329
2021-04-15,68622121631.16771,178604.1979996893,11249310339.679094
2021-04-16,94498055073.1033,255765.89299933965,15740427372.094017
2021-04-17,70135067006.9652,194112.29899971388,11862499746.34751
2021-04-18,201611216622.55267,522006.27599724266,29025717493.571804
2021-04-19,100939957177.89307,285041.7159992789,15980367367.834743
2021-04-20,110127109518.44617,324494.08499886276,17936263515.61452
2021-04-21,89210336381.45966,252601.9719995147,13965417339.88721
2021-04-22,153783887728.27194,453489.18499770516,24205456559.062584
2021-04-23,174238629317.38367,554666.0259983878,27531602634.09364
2021-04-24,91558821982.79903,299663.1309989453,14965045326.887619
2021-04-25,93749335160.79549,310306.5029993757,15286993428.28717
2021-04-26,121006135058.35489,390494.1459986947,20594394087.029255
2021-04-27,75426789132.4263,225440.36099947555,12306057432.26177
2021-04-28,87839263146.77943,263170.5589992374,14420430887.672117
2021-04-29,79131520066.28622,257045.18999928466,13822718178.83733
2021-04-30,90500049023.42465,294683.7509990108,16384605220.97585
